word,synonym,meaning,example,video,
Figurehead (Model),No Synonym Available,"a painted model, usually of a person, that in the past was attached to the front of a ship",,https://www.youtube.com/embed/mujD9-J-scQ,
Figure of eight,"Patterns, Shapes.",No Meaning Available,She skated a perfect figure of eight.,,
Figure of fun,"Stupid, Silly people.",No Meaning Available,Akbar is a figure of fun,,
Figure skating,No Synonym Available,A type of skating that involves circular patterns and often includes jumps.,Aleya is good in figure skating.,,
Figurine,"Sculpture, Statue.",No Meaning Available,This head once formed part of a small figurine carved from mammoth ivory.,https://www.youtube.com/embed/YEAZrVtH4P4,
Filament,"Wire, Conducting wire.",No Meaning Available,A tungsten filament.,https://www.youtube.com/embed/TUoo4tpM57U,
Filbert,"Hazelnut, Cobnut",No Meaning Available,"Nut trees such as filbert, hazelnut and yellowhorn produce well with only sun in the morning.",https://www.youtube.com/embed/y8Gd1wWofJc&ab_channel=HowToPronounce85,
Filch,"Stealing, To take away.",No Meaning Available,Who's filched my pencils?,https://www.youtube.com/embed/Efso7eQDBtg,
File for something,No Synonym Available,To make an official request for something such as divorce or bankruptcy.,Alisha want to file for divorce.,,
Filial,No Synonym Available,Of a son or daughter.,An impoverished family can call forth a filial son.,https://www.youtube.com/embed/mYyjDdl3KFo,
Filibuster,"Delay, Holdup",No Meaning Available,Senator Seymour has threatened a filibuster to block the bill.,https://www.youtube.com/embed/EEVvHKFMpRQ,
Filigree,No Synonym Available,"Delicate jewellery made from twisted, especially silver, wire.",A beautiful filigree brooch.,https://www.youtube.com/embed/4Xz5DOXhDO4,
Filings (Metal),No Synonym Available,No Meaning Available,Iron filings,https://www.youtube.com/embed/O9If41ho6ds,
Filler,No Synonym Available,"A substance that is used to fill small holes and cracks, especially in wood and walls.",Fill small holes with wood filler in a matching colour.,https://www.youtube.com/embed/gGXO-F6a-uI,
Fillip,No Synonym Available,Something that causes a sudden improvement.,The athletics win provided a much-needed fillip to/for national pride.,https://www.youtube.com/embed/t2dQsu92xao,
Filly,"Foal, Female",No Meaning Available,The filly has been raced twice this season.,https://www.youtube.com/embed/0PMebo8edhE,
Film over,"Covering, Adding Layers",No Meaning Available,Her eyes suddenly filmed over (with tears).,,
Filming,"Cinematography, Photography",No Meaning Available,Ashik loves filming.,https://www.youtube.com/embed/sIm4jgAh418,
Filmy,"Thin, Transparent.",No Meaning Available,Filmy material.,https://www.youtube.com/embed/PqmgB3btvYo,
Filofax,"Paper, Stationery",No Meaning Available,,https://www.youtube.com/embed/cZ8Yl_uWkJ4,
Filo,"Pastry, Pies",No Meaning Available,I am crazy abut filoes.,https://www.youtube.com/embed/MGbRHAWJbV0,
Filter,"Filrate, Strain",No Meaning Available,Dustbags act as a filter and suction will be reduced if they are too full.,https://www.youtube.com/embed/pePF3CVvKC0,
Filter in,No Synonym Available,To join a line of moving traffic without causing other vehicles to slow down.,Don't worry the road has been filterd in.,,
Filter bed,"Straining, Filtering devices.",No Meaning Available,To study filter bed would be silting is the key point concerning the expectancy service life of the filter project.,,
Filter paper,No Synonym Available,Thin paper that allows only liquid to flow through.,Scrape the particles off the filter paper and transfer them to the empty jar.,,
Black-tie,,"Requiring that guests wear semiformal attire, especially that men wear black bow ties with  tuxedos or  dinner  jackets.",I love my black tie very much.,https://www.youtube.com/embed/ecudxDHv1uk,
Blackmarket:,"The buying and selling of goods in violation of legal price controls, also, the place where such buying and selling is done",,,https://www.youtube.com/embed/qIzPCdbPxTw,
Black sheep,,A person who causes shame or embarrassment because of his/her deviation from the standards of the group,,https://www.youtube.com/embed/3YE8ljS1q2Q,
Blackball,,"Exclude socially, vote against or reject a candidate",Donald J trump is black ball by his party members.,https://www.youtube.com/embed/vWbylydXsAo,
Black box,,"An electronic device, such as a flight recorder, that can be removed from an aircraft as a single package",During the plane accident only black box remain ok!,https://www.youtube.com/embed/uNkXPKwnAyQ,
Rose-colored glasses,,"Cheerful or optimistic view of things, usually without valid basis",People who wear rose colored glasses can never judge the society very well.,https://www.youtube.com/embed/LDGxLspMuaA,
Rosy,,"Bright or promising, cheerful or optimistic",The girl is looking very rosy.,https://www.youtube.com/embed/Op89n5_P63s,
Greenhorn,,"An untrained, inexperienced, or naive person",His family lives in a village is greenhorn.,https://www.youtube.com/embed/ntotX4ZqSj8,
Green around the gills,,"Having a sickly appearance, pale",,,
,Get the green light,,Receive permission or authorization to do something,,
Green with envy,,Very jealous,My brother green with envy for my results.,https://youtu.be/qZZWjzDqPCU?t=1s,
Green-eyed monster,,Jealousy,He is a green eyed monster man,https://youtu.be/EeWa47cZXdY?t=2s,
Green thumb,,An exceptional aptitude for gardening or for growing plants successfully,,https://youtu.be/_7yw30gk6dw?t=2s,
Tickled pink,,Greatly pleased,,https://youtu.be/d2wSIoiqd28,
Pink slip,,A notice of dismissal from one's job,Suddenly he gets a pink slip from his office.,https://youtu.be/n0IzAHAJxoY?t=2s,
In the pink,,"Healthy, in very good condition",A boy in the pink loves by all.,,
Pinkie,,The little finger,,https://youtu.be/y2avf9ucGSo?t=1s,
Have a yellow streak,,Be cowardly,,,
Beet red,,To redden in the face,He becomes beet red for fear.,,
Black and blue,,"Bruised, either physically or emotionally.",,https://youtu.be/mfgXjzhRjyM?t=4s,
Black and white,,In writing or in point,,https://youtu.be/aE8oAYgEYeo?t=1s,
Black out,,Faint,Suddenly he gets blackout seeing the picture.,https://youtu.be/5w6QSe9AvB8,
Born with a silver spoon in one's mouth,,Born into wealth and comfort rich,,https://youtu.be/kKcGMMOvpkU?t=2s,
Golden opportunity,,A very good chance to achieve something,He had a golden opportunity in his life once.,https://youtu.be/CXW5egpwIn8?t=2s,
Grass is always greener on the other side,,Who never satisfied with their own life and think other people to live better,,https://youtu.be/lwva48LvF2w?t=4s,
Gray area,,There are no clear rules,,,
Have the blues,,Be sad or deperessed,,,
In the dark,,,,,
Once in a blue,,Very rarely,,https://youtu.be/ArgU8pELacI?t=6s,
Roll out the red carpet,,Treat someone like loyalty,,https://youtu.be/WAGHGFmZRKQ?t=2s,
True colours,,,,,
With flying colours,,,,,
Sing the blues,,To be disappointed or disillusioned.,Abir is singing the blues since he broke up with Elizabeth.,,
Play second fiddle to someone,,To be subordinated to someone.,Navid resigned from the company because she was tired of playing second fiddle to George.,https://youtu.be/cMDPpG7FsS8?t=3s,
Play by ear,,To play a piece of music without looking at the notes.,I can play all the popular songs by ear. to perform without prior preparation. We haven't had time to prepare for the meeting. We'll have to play it by ear.,https://youtu.be/HacqQfvDTHY?t=6s,
Music to my ears,,Good news,"When my boss told me about my promotion, it was music to my ears.",,
"Toot one's own horn, Blow one's own horn",,"To praise oneself, To brag.","Mary is always tooting (blowing) her own horn, she often forgets to appreciate other people.",https://youtu.be/gL6FxCvp06E?t=3s,
Jazz something up,,To make something more interesting or lively,Tom jazzed up his gray suit with a red tie.,https://youtu.be/1gEhc9aHToY?t=2s,
Soap opera,,An overly dramatic and emotional story broadcast regularly on theradio or television.,Sohana's day was not complete unless she saw her favorite soap opera.,https://youtu.be/o4iY3Lkp7BM?t=7s,
It's not over till the fat lady sings,,To not speculate about something until it is completed.,"Though her policies were criticized, and her election in doubt, the candidate reminded the news correspondents that it 's not over till the fat lady sings.",https://youtu.be/kjjLLSXNIyM?t=31s,
Change one's tune,,To change one 's opinions or manner.,Johny was critical of Anne 's judgment until she was made his supervisor.,https://youtu.be/cF0d0uXpdMg?t=3s,
Off of tune,,Not in agreement.,His suggestions were out of tune with reality.,,
Call the tune,,"Make decisions,",The person who is in charge is the one who makes the final decision. He who pays the piper calls the tune.,https://youtu.be/mjonUxRnwbE,
March to a different drummer,,To follow one 's own ideas rather than being influenced by the group.,"Mona isn 't going to support us, he always marches to a different drummer.",https://youtu.be/YfFMI2MgSFY?t=2s,
Off-beat,,Unusual,He dressed in an off-beat manner.,https://youtu.be/n8wSXH03fFs?t=1s,
Tune out,,Ignore someone or something.,I tuned out when the speaker started quoting statistics.,,
Tune in,,Set the television control to receive a program.,I tune in to the news every evening.,,
Tune up,,Adjust an engine so that it runs correctly.,I needed a mechanic to tune up my car.,https://youtu.be/t9xpP56FUbE?t=6s,
To beat the band,,"Very much, Very fast.",The police car was speeding down the highway to beat the band.,https://youtu.be/2S5CnyBI1lo?t=2s,
Face the music,,Accept the unpleasant consequences for one's actions.,Jimmy broke his neighbor's window with his baseball.,https://youtu.be/HJUdn8oEQUA?t=3s,
Split,Divide,,The prize was split between Susan and Kate.,https://youtu.be/fypxnE7LWzo?t=1s,
Sponsor,,"To give money to someone to support an activity, event, or organization, sometimes as a way to advertise your company or product","The team is sponsored by JVC, so the players wear the letters JVC on their shirts.",https://www.youtube.com/embed/5isS4TYEP1A,
Spray,,Liquid in a container which forces it out in small drops,"hair spray, spray paint",https://youtu.be/rDSfrOR2qMA?t=3s,
Spread,,Gradually affect,The fire spread very rapidly because of the strong wind.,https://youtu.be/eyQUMB3Avn4?t=3s,
Squash,,To crush something into a flat shape,He accidentally sat on her hat and squashed it.,https://youtu.be/QJo0CLPagHs,
squeeze,,Press,She squeezed his hand and said goodbye.,https://youtu.be/C_x_0RJd7oU?t=6s,
Stab,,To push a knife into someone,She was stabbed in the arm.,https://www.youtube.com/embed/ND86ampA1zQ,
Stain,,A dirty mark on something that is difficult to remove,A blood/grass stain,https://www.youtube.com/embed/ZhZ0vhpYmTE,
Stare,,To look at someone or something for a long time and not move your eyes,"Don't stare at people like that, it's rude.",https://youtu.be/I_bEZtUVn7o?t=6s,
Starving,,Ill or dying because there is not enough food,Starving people,https://youtu.be/sPaubgzi_Gk?t=6s,
State,,Condition,The building is in a terrible state.,https://www.youtube.com/embed/PaMeCgV7hig,
Steady,,Gradual,The procession moved through the streets at a steady pace.,https://youtu.be/vKfmmXvdqwo?t=4s,
Steam,Gas,,Steam rose from the simmering stew.,https://youtu.be/VbVhVD8kesQ?t=4s,
Steer,,Control,She carefully steered the car around the potholes.,https://www.youtube.com/embed/KogxDYIGUpk,
Word -Stick,,"If something sharp sticks into something, it goes into it, and if you stick something sharp somewhere, you push it into something.",The nurse stuck the needle into his arm.,https://www.youtube.com/embed/d0py77GkNUI,
Stiff,Hard,,Stiff cardboard,https://www.youtube.com/embed/E-vd6HpuzJ0,
Word -Stimulate,,"To encourage something to grow, develop or become active",The government plans to cut taxes in order to stimulate the economy.,https://www.youtube.com/embed/NOQ7JTCynck,
Stool,,A seat that does not have a back or arms,A bar/kitchen/piano stool,https://www.youtube.com/embed/3Bq9brsxVyc,
Storey,,A level of a building,A three-storey house,https://www.youtube.com/embed/TvziW-z6r6E,
Storm,Weather,,A stormy night,https://www.youtube.com/embed/7wEWkRoQxNY,
Strain,,,All those books put a strain on the shelf and it broke!,https://www.youtube.com/embed/yMnPegatc-4,
Strange,,"A way that is unusual, unexpected or difficult to understand",She was strange.,https://www.youtube.com/embed/9gYTzMpacPA,
Strategy,,A plan that you use to achieve something,The government's economic strategy,https://www.youtube.com/embed/vkA8sUIxzl8,
Stream,,A stream of sth a continuous flow of things or people,There has been a steady stream of phone calls from worried customers.,https://www.youtube.com/embed/DDH_S8escIk,
Strengthen,,Make or become stronger.,He advises an application of fluoride to strengthen the teeth.,https://www.youtube.com/embed/Q09GNBAUHvg,
Stress,,When you say one part of a word more strongly than the rest,The meaning of a sentence often depends on stress and intonation.,,
Stretch,,"To become longer or wider, or to pull something so that it becomes longer or wider",Don't pull my sweater - you'll stretch it.,https://www.youtube.com/embed/JkKUkIy_-Xo,
Strict,"A rule, A law",,She gave me strict instructions to be there by ten,https://www.youtube.com/embed/Z33lV02cwbc,
strike,,"If a thought or idea strikes you, you suddenly think of it.",It struck me that I had forgotten to order the champagne.,https://www.youtube.com/embed/GMLXsRHDpkk,
string,Rope,,A parcel tied with string,https://youtu.be/qXlqU0ypdYQ?t=4s,
Stroke,,To gently move your hand over a surface,,https://youtu.be/72Z0GUxu5r0?t=3s,
Struggle,,Try hard,He's been struggling to pay off his debts.,https://www.youtube.com/embed/huFSHkmi4iA,
stubborn,,"Determined not to change your ideas, plans, etc.,",He can be very stubborn sometimes.,https://youtu.be/kWCjDYTcYG0,
Stunning,Very beautiful or attractive,,A stunning dress,https://www.youtube.com/embed/0BiYWBoLQg8,
Submit,,"To send a document, plan, etc. to someone so that they can consider it",Applications must be submitted before January 1st.,https://www.youtube.com/embed/DhvoPAZL9kM,
Substantial,,In amount,A substantial sum of money,https://youtu.be/9mbxkrr88lk?t=6s,
Substitute,,To use someone or something instead of another person or thing,You can substitute oil for butter in this recipe.,https://www.youtube.com/embed/YRpTN-Z9zOY,
Suburb,,An area on the edge of a large town or city where people who work in the town or city often live,Box Hill is a suburb of Melbourne.,https://youtu.be/UEqO7e8ulM4?t=6s,
Subway,,A passage under a road or railway for people to walk through,We could take the subway,https://www.youtube.com/embed/gQeNhUdP4ok,
Sudden,,Done or happening quickly and unexpectedly,His sudden death at the age of 53 came as a terrible shock to her.,https://youtu.be/5M8eB5xa2Dc?t=6s,
Suffer,,To experience pain or unpleasant emotions,She really suffers in the winter when it's cold and her joints get stiff.,https://www.youtube.com/embed/5Jl-rdjbwHA,
Sufficient,,As much as is necessary,This recipe should be sufficient for five people.,https://www.youtube.com/embed/106ZoibGbao,
Suggest,,To make something seem likely to be true,"There's no absolute proof, but all the evidence suggests (that) he's guilty",https://www.youtube.com/embed/F5asxhhP7f4,
Suit,,"To be convenient or suitable for a particular person, situation or occasion",We could go now or this afternoon - whatever time suits you best.,https://youtu.be/emBaXIa_pJI?t=6s,
Sum,,To describe briefly the most important facts or characteristics of something,The purpose of the conclusion is to sum up the main points of your essay,https://youtu.be/wJ_Byfk2rYk?t=6s=,
Supernatural,,Used to describe things that cannot be explained by our knowledge of science or nature,"The book consists of six completely different 'ghost stories' which involve ghosts and supernatural phenomena, something that attracts young readers.",https://www.youtube.com/embed/hXk7Z9U8BJs,
Supervise,,"To watch a person or activity to make certain that everything is done correctly, safely, etc.",The UN is supervising the distribution of aid by local agencies in the disaster area.,https://www.youtube.com/embed/yDbdKKwl2Ek,
Suppose,"To be expected to be something, especially because of a rule, agreement, etc.",,The children are supposed to be at school by 8.45 a.m.,https://youtu.be/DPmnJepPbJY,
Surface,,The top or outside part of something,The sun was reflected on the surface of the water.,https://youtu.be/jzw4Dlw6h2w?t=9s,
Survive,,"To continue to live or exist, especially after almost dying or being destroyed",The baby was born with a heart problem and only survived for a few hours.,https://www.youtube.com/embed/lV9LpvISfnk /s??va?v/,
Cheerful,Joyful,,You're not in your usual cheerful self today.,https://www.youtube.com/embed/riULLI5aHfI,
Cliff,"precipice , rock face.",,Keep away from the edge of the cliff - you might fall.,https://www.youtube.com/embed/9sVYK8g01Co,
Climate,"weather pattern , weather conditions.",,The Mediterranean climate is good for growing citrus fruits and grapes.,https://www.youtube.com/embed/uDeJYs53FSw,
Coach,"instructor , trainer.",,The coach issued a diktat that all team members must attend early-morning practice.,https://youtu.be/xi5m7Uy4ymA,
Coast,"seashore , beach , shoreline.",,Rimini is a thriving resort on the east coast of Italy.,https://youtu.be/5j41g8uBYCI,
Collect,Gather,gather together,She collects dolls.,https://youtu.be/OlgWzBWWEPE,
Comb,,"a piece of plastic, wood, or metal thing whicy and arrange hair",Can I borrow your comb?,https://youtu.be/kZLHzWV2bHg,
Compare,"contrast , juxtapose.",,"If you compare house prices in the two areas, it's quite amazing how different they are.",https://www.youtube.com/embed/rT3x-Yabx9U,
Compete,"rival , take part in a competition",,It's difficult for a small shop to compete against the big supermarkets.,https://youtu.be/rT3x-Yabx9U,
Complain,"dissatisfaction , protest.",,Lots of people have complained about the noise.,https://www.youtube.com/embed/_TsCRPrJjsM,
Complicate,"make complex , make something difficult.",,It will only complicate the situation if we invite his old girlfriend as well.,https://youtu.be/jkJRNWFAIhM,
Compose,"write , create.",,Prokofiev started composing at the age of five.,https://www.youtube.com/embed/aTxxTQaJiVc,
Concentrate,"focus , pay attention.","to direct your attention or your efforts towards a particular activity, subject, or problem",I can't concentrate on my work with all that noise.,https://www.youtube.com/embed/bys1O4YuAmA,
Conclude,"end , finish.",,She concluded the speech by reminding us of our responsibility.,https://www.youtube.com/embed/NWsi_tVUq4c,
Confidence,"self-assurance , self-reliance.",,She's knowledgeable but lacks confidence.,https://www.youtube.com/embed/NWsi_tVUq4c,
Confirm,"affirm , give an assurance.",,Flights should be confirmed 48 hours before departure.,https://www.youtube.com/embed/KP-7E7iRXcg,
Consist,"be composed of ,be made up of.",,The crew consists of five men,https://www.youtube.com/embed/eroIlJZmCH0,
Contain,"hold , carry , accommodate.",,Try to avoid foods which contain a lot of fat.,https://youtu.be/VB9h44m0GY0,
content,"subject matter ,material.",,Empty the contents of the pan into the sieve.,https://www.youtube.com/embed/KV507U7z9KE,
Contest,competition.,,She's won a lot of beauty contests.,https://youtu.be/HVRXYZjf1W0,
Continent,mainland.,,Bangladesh is a part of Asia which is the largest continent.,https://www.youtube.com/embed/7yXDYvWSswI,
Convenient,"suitable , approriate , fitting.",,Our local shop has very convenient opening hours.,https://www.youtube.com/embed/EjhAvKRMNK4,
Cosy,"comfortable , homelike.",,He showed me into a cosy little room,https://www.youtube.com/embed/B4OTk_VRNC4,
Cottage,"house , villa.",,We rented a little beach cottage on the North Caroline coast,https://www.youtube.com/embed/3LMiCLmlQ7o,
Courgette,a type of vegetable.,,I love to eat courgette,https://www.youtube.com/embed/1Kjdtveou-,
Coverage,reporting,,What did you think of the NTv's election coverage?,https://www.youtube.com/embed/E92mm2u6I3U,
Creature,"animal , beast.",,Rainforests are filled with amazing creatures.,https://www.youtube.com/embed/TU6BEv2bSXQ,
Crew,team,,The aircraft has a crew of seven.,https://www.youtube.com/embed/_ZwOfUVPZwQ,
Cruel,"brutal , savage.",,Don't tease him about his weight - it's cruel.,https://www.youtube.com/embed/WfGMYdalClU,
Cruise,"sail , voyage",,They're going on a cruise round the Med,https://youtu.be/235JfIxubv4,
Curious,"inquisitive , eager to know.",,I was curious to know what would happen next.,https://youtu.be/UceFI2S6EZs,
Curriculum,"programme of study , syllabus.",,The Romans aren't on this year's curriculum,https://youtu.be/1g0x8gzLJZk?t=6s,
Custom,"tradition , practice , convention.",,"In my country, it's the custom (for women) to get married in white",https://www.youtube.com/embed/C6JVoT_RMX4,
Deaf,hearing-impaired.,,He's been totally/partially deaf since birth,https://www.youtube.com/embed/K-kjXRdMSCk,
Declare,"proclaim , announce.",,They declared their support for the proposal,https://www.youtube.com/embed/W7oRBa9moog,
Decisive,"strong-minded , firm , determined.",,You need to be more decisive,https://www.youtube.com/embed/Tsmlb-M9ZHI,
Decorate,"accessorize , adorn , embellish.",,They decorated the wedding car with ribbons and flowers,https://www.youtube.com/embed/wRQ-ccWpxas,
Decrease,"lessen , reduce",,Our share of the market has decreased sharply this year,https://www.youtube.com/embed/Nz_FxuLiIq4,
Defeat,"beat , conquer ,vanquish.",,Napoleon was defeated by the Duke of Wellington at the battle of Waterloo,https://www.youtube.com/embed/UW6fu7uT2fg,
Defence,"protection ,shield ,guarding.","protection or support against attack, criticism, or infection",The rebels' only form of defence against the soldiers' guns was sticks and stones.,https://www.youtube.com/embed/hgDqWlwFyGA,
Delay,late,to make something happen at a later time than originally planned o respected,My plane was delayed by an hour,https://www.youtube.com/embed/3AOwimoIGZU,
Delicious,"mouth-watering , appetizing , tasty.",,a delicious cake,https://www.youtube.com/embed/dbrmXhADCmU,
Delighted,"very pleased , glad",,a delighted audience in the auditorium,https://www.youtube.com/embed/gXkMkfwkS5o,
Depart,"leave , go.",,The plane departs at 6 a.m.,https://www.youtube.com/embed/ylexln64t6k,
Depend,"rely on , be based on.",,,https://youtu.be/R2pbZmVnhlI?t=6s,
Deposit,"accummulation , layer.",,"The flood waters fell, depositing mud over the whole area",,
Depression,"melancholy , misery , unhappiness.",,He seemed a bit depressed about his work situation,https://youtu.be/AoNmg8sdChg?t=4s,
Depth,"deepness , distance downwards , distance inwards.","the distance down either from the top of something to the bottom, or to a distance below the top surface of something",the depth of a lake/pond is  really big,https://www.youtube.com/embed/hb8MvmzgzGY,
Deserve,"merit , be good enough for.",to have earned or to be given something because of the way you have behaved or the qualities you have,"After all that hard work, you deserve a holiday",https://www.youtube.com/embed/ASjJwfhUdFI,
Destination,"journey's end , end of the line.",The place where someone is going or where something is being sent or taken,We arrived at our destination tired and hungry,,
beam,,a line of light shining from something,a laser beam,https://www.youtube.com/embed/-oA6YGqQkoE,
bear,,to accept someone or something unpleasant,I like her but I can't bear her friends.,https://www.youtube.com/embed/zyeIF0LkJgk,
berry,,a small round fruit on particular plants and trees,I usually scatter a few berries on my muesli.,https://www.youtube.com/embed/T3r7kcAbJuA,
betray,,to behave in a dishonest or cruel way to someone who trusts you,She felt betrayed by her mother's lack of support,https://www.youtube.com/embed/qA1sjVPSHKg,
bizarre,,very strange and unusual,a bizarre situation,https://www.youtube.com/embed/H9knp52AjbU,
blade,,"the flat part on a knife or similar tool or weapon, with a very thin edge used for cutting",a sword with a steel blade,https://www.youtube.com/embed/H_oGyif7XeQ,
blink,,to open and close both of your eyes quickly,You've got something in your eye - try blinking a few times,https://www.youtube.com/embed/Xf1osD9Knjo,
blush,,"to become pink in the face, usually from embarrassment",He blushes every time she speaks to him,https://www.youtube.com/embed/p6-FxsLlzoU,
boast,,to talk with too much pride about what you have done or what you own,He didn't talk about his exam results in case people thought he was boasting.,https://www.youtube.com/embed/PbzXFb9SRhs,
bond,,"an interest, experience, or feeling that makes people feel connected",The bond between the mother and baby,https://www.youtube.com/embed/8fVFNhE7W8Q,
boost,,"something that makes you feel more confident and happy, or that helps something increase or improve",Passing my driving test was such a boost to my confidence,https://www.youtube.com/embed/mVHFSrG8KG4,
bossy,,always telling other people what to do,a bossy older sister,https://www.youtube.com/embed/zAJ5zbXlqv4,
bounce,,to (cause to) move up or away after hitting a surface,The ball bounced off the post and into the net.,https://www.youtube.com/embed/ivoeWTCGjJU,
bound,,"certain to do something, or certain to happen",You're bound to feel nervous before your driving test.,https://www.youtube.com/embed/hJIfMOux3sE,
brake,,to make a vehicle stop or move more slowly,I tried to brake but it was too late.,https://www.youtube.com/embed/P2rhvRXMIlE,
bravery,,when someone is brave,He was awarded a medal for his bravery in battle.,https://www.youtube.com/embed/W3TD_bhCDvQ,
breakable,,easy to break,That vase is breakable so be careful.,https://www.youtube.com/embed/56evi8j0ag4,
breakdown,,a short period of mental illness when people are too ill to continue with their normal lives,Later that year she had a breakdown.,https://www.youtube.com/embed/EtlJOyx6kdE,
breakthrough,,an important discovery or event that helps to improve a situation or provide an answer to a problem,Scientists are hoping for a breakthrough in the search for a cure for cancer.,https://www.youtube.com/embed/DeC5-LtNReo,
breathtaking,,very beautiful or surprising,breathtaking scenery/views,https://www.youtube.com/embed/0Yip1A0ILrk,
broadcast,,"to send out a programme on television, radio or the Internet",Radio Caroline used to broadcast from a boat in the North Sea.,https://www.youtube.com/embed/4aNG2MzxP4s,
browse,,"to look through a book or magazine without reading everything, or to walk around a shop looking at several things without intending to buy any of them",,https://www.youtube.com/embed/BOTnTfhSE-s,
Bruise,,a dark area on your skin where you have been hurt,His arms and back were covered in bruises.,https://www.youtube.com/embed/ioI5iG3nbaM,
burgle,,to get into a building illegally and steal things,They've been burgled twice recently.,https://www.youtube.com/embed/dRCh-QNBWiQ,
capable,,able to do things effectively and achieve results,She's a very capable young woman.,https://www.youtube.com/embed/ZMGAgwQnsmo,
capacity,,"the largest amount or number that a container, building, etc. can hold",a restaurant with a capacity of 200,https://www.youtube.com/embed/u7yGEt_uePo,
Capture,,"to catch someone and make them your prisoner, or to take something into your possession, especially by force",Two of the soldiers were killed and the rest were captured,https://www.youtube.com/embed/kYo1SIsms-w,
carnival,,a public celebration where people wear special clothes and dance and play music in the streets,I took the kids to the local carnival,https://www.youtube.com/embed/_g0mwBENRxs,
cast,,"all the actors in a film, play or show","After the final performance, the director threw a party for the cast.",https://www.youtube.com/embed/0aVXMrP1Bag,
Catering,,providing food and drinks for people,Who did the catering for the party?,https://www.youtube.com/embed/ySsQvsFgv64,
cautious,,taking care to avoid risks or danger,He's a very cautious driver.,https://www.youtube.com/embed/O-pnv4CEzek,
cease,,to stop,He ordered his men to cease firing.,https://www.youtube.com/embed/XJzmjtBL3Uo,
cemetery,,a place where dead people are buried,She went to the cemetery where her grandfather was buried.,https://www.youtube.com/embed/WDRyXQcX9fA,
Chaos,,a state of total confusion with no order,Snow and ice have caused chaos on the roads.,https://www.youtube.com/embed/JCa21U3xma0,
charm,,a quality which makes you like or feel attracted to someone or something,a woman of great charm,https://www.youtube.com/embed/fQ4ecp1Jm7A,
